Item_Fat_Content,Item_Type,Year,Outlet_Location,Sales,Rating
Regular,Fruits and Vegetables,2023,Capital Federal,145.47860717773438,5
Low Fat,Health and Hygiene,2022,Interior,115.34919738769531,5
Regular,Frozen Foods,2016,Capital Federal,165.02099609375,5
Regular,Canned,2021,Interior,126.50460052490234,5
Low Fat,Soft Drinks,2019,Provincia de Buenos Aires,55.161399841308594,5
Low Fat,Frozen Foods,2020,Provincia de Buenos Aires,102.40160369873047,5
Low Fat,Health and Hygiene,2024,Interior,81.461799621582031,5
Low Fat,Household,2019,Provincia de Buenos Aires,96.072601318359375,5
Low Fat,Fruits and Vegetables,2021,Interior,124.17299652099609,5
Low Fat,Canned,2018,Interior,181.92919921875,5
Low Fat,Snack Foods,2018,Interior,109.89119720458984,5
Low Fat,Health and Hygiene,2017,Provincia de Buenos Aires,192.18460083007813,5
Low Fat,Fruits and Vegetables,2022,Interior,112.38860321044922,5
Low Fat,Household,2021,Interior,195.21099853515625,5
Low Fat,Meat,2018,Interior,173.17379760742188,5
Regular,Fruits and Vegetables,2017,Provincia de Buenos Aires,222.17720031738281,5
Low Fat,Breads,2022,Interior,93.743598937988281,5
Low Fat,Household,2023,Capital Federal,197.61099243164063,5
Low Fat,Fruits and Vegetables,2018,Interior,98.769996643066406,5
Low Fat,Hard Drinks,2022,Interior,178.56599426269531,5
Regular,Fruits and Vegetables,2018,Interior,60.219398498535156,5
Low Fat,Others,2018,Interior,50.966598510742188,5
Low Fat,Frozen Foods,2022,Interior,261.65939331054688,5
Low Fat,Dairy,2022,Interior,173.17640686035156,5
Regular,Dairy,2020,Provincia de Buenos Aires,76.198600769042969,5
Low Fat,Frozen Foods,2020,Provincia de Buenos Aires,150.23919677734375,5
Low Fat,Frozen Foods,2017,Provincia de Buenos Aires,221.94560241699219,5
Regular,Fruits and Vegetables,2018,Interior,47.403400421142578,5
Low Fat,Frozen Foods,2016,Capital Federal,57.261398315429688,5
Regular,Breakfast,2023,Capital Federal,93.180397033691406,5
Low Fat,Household,2016,Capital Federal,167.77900695800781,5
Low Fat,Health and Hygiene,2021,Interior,196.37939453125,5
Low Fat,Hard Drinks,2021,Interior,59.987800598144531,5
Low Fat,Household,2021,Interior,35.421600341796875,5
Low Fat,Snack Foods,2020,Provincia de Buenos Aires,174.30540466308594,5
Low Fat,Frozen Foods,2021,Interior,61.6510009765625,5
Low Fat,Fruits and Vegetables,2019,Provincia de Buenos Aires,46.840198516845703,5
Regular,Snack Foods,2019,Provincia de Buenos Aires,88.685600280761719,5
Low Fat,Fruits and Vegetables,2023,Capital Federal,126.20459747314453,5
Regular,Meat,2016,Capital Federal,119.61239624023438,5
Regular,Dairy,2021,Interior,95.675201416015625,5
Regular,Fruits and Vegetables,2018,Interior,62.953601837158203,5
Low Fat,Hard Drinks,2019,Provincia de Buenos Aires,159.0946044921875,5
Low Fat,Snack Foods,2023,Capital Federal,104.29640197753906,5
Regular,Breakfast,2024,Interior,150.56820678710938,5
Low Fat,Others,2021,Interior,239.2196044921875,5
Low Fat,Household,2017,Provincia de Buenos Aires,127.33360290527344,5
Low Fat,Frozen Foods,2023,Capital Federal,256.33041381835938,5
Low Fat,Household,2023,Capital Federal,235.52479553222656,5
Low Fat,Baking Goods,2023,Capital Federal,82.425003051757813,5
Low Fat,Canned,2023,Capital Federal,264.62258911132813,5
Low Fat,Canned,2023,Capital Federal,114.91500091552734,5
Low Fat,Dairy,2023,Capital Federal,152.23399353027344,5
Low Fat,Frozen Foods,2023,Capital Federal,147.20759582519531,5
Low Fat,Frozen Foods,2023,Capital Federal,122.14140319824219,5
Low Fat,Frozen Foods,2023,Capital Federal,62.716800689697266,5
Low Fat,Frozen Foods,2023,Capital Federal,120.90979766845703,5
Low Fat,Fruits and Vegetables,2023,Capital Federal,111.122802734375,5
Low Fat,Fruits and Vegetables,2023,Capital Federal,39.216400146484375,5
Low Fat,Fruits and Vegetables,2023,Capital Federal,111.95179748535156,5
Low Fat,Hard Drinks,2023,Capital Federal,153.89979553222656,5
Low Fat,Hard Drinks,2023,Capital Federal,153.36819458007813,5
Low Fat,Health and Hygiene,2023,Capital Federal,84.722396850585938,5
Low Fat,Household,2023,Capital Federal,110.09120178222656,5
Low Fat,Household,2023,Capital Federal,144.94700622558594,5
Low Fat,Household,2023,Capital Federal,107.76219940185547,5
Low Fat,Household,2023,Capital Federal,180.76600646972656,5
Low Fat,Household,2023,Capital Federal,186.95559692382813,5
Low Fat,Household,2023,Capital Federal,253.47239685058594,5
Low Fat,Household,2023,Capital Federal,41.979598999023438,5
Low Fat,Meat,2023,Capital Federal,126.302001953125,5
Low Fat,Snack Foods,2023,Capital Federal,249.64079284667969,5
Low Fat,Snack Foods,2023,Capital Federal,239.22219848632813,5
Low Fat,Snack Foods,2023,Capital Federal,147.57339477539063,5
Regular,Baking Goods,2023,Capital Federal,261.75680541992188,5
Regular,Baking Goods,2023,Capital Federal,99.80419921875,5
Regular,Breads,2023,Capital Federal,247.40919494628906,5
Regular,Canned,2023,Capital Federal,85.554000854492188,5
Regular,Dairy,2023,Capital Federal,145.47860717773438,5
Regular,Dairy,2023,Capital Federal,194.27940368652344,5
Regular,Frozen Foods,2023,Capital Federal,257.29620361328125,5
Regular,Frozen Foods,2023,Capital Federal,172.41059875488281,5
Regular,Frozen Foods,2023,Capital Federal,87.085601806640625,5
Regular,Meat,2023,Capital Federal,197.11099243164063,5
Regular,Meat,2023,Capital Federal,37.953201293945313,5
Regular,Snack Foods,2023,Capital Federal,259.23040771484375,5
Regular,Snack Foods,2023,Capital Federal,73.503799438476563,5
Regular,Snack Foods,2023,Capital Federal,59.156200408935547,5
Low Fat,Health and Hygiene,2023,Capital Federal,50.303398132324219,5
Regular,Baking Goods,2023,Capital Federal,78.232803344726563,5
Regular,Dairy,2023,Capital Federal,94.943603515625,5
Low Fat,Others,2018,Capital Federal,108.22799682617188,5
Low Fat,Canned,2018,Capital Federal,120.54399871826172,5
Low Fat,Dairy,2018,Capital Federal,263.18838500976563,5
Low Fat,Fruits and Vegetables,2018,Capital Federal,109.72280120849609,5
Low Fat,Fruits and Vegetables,2018,Capital Federal,150.37339782714844,5
Low Fat,Fruits and Vegetables,2018,Capital Federal,167.54739379882813,5
Low Fat,Health and Hygiene,2018,Capital Federal,148.27340698242188,5
Low Fat,Health and Hygiene,2018,Capital Federal,123.47299957275391,5
Low Fat,Health and Hygiene,2018,Capital Federal,145.97599792480469,5
Low Fat,Health and Hygiene,2018,Capital Federal,210.52439880371094,5
Low Fat,Household,2018,Capital Federal,189.75300598144531,5
Low Fat,Household,2018,Capital Federal,244.34599304199219,5
Low Fat,Household,2018,Capital Federal,194.71099853515625,5
Low Fat,Household,2018,Capital Federal,167.78419494628906,5
Low Fat,Meat,2018,Capital Federal,140.3179931640625,5
Low Fat,Seafood,2018,Capital Federal,34.221599578857422,5
Regular,Breakfast,2018,Capital Federal,232.72999572753906,5
Regular,Canned,2018,Capital Federal,107.16220092773438,5
Regular,Fruits and Vegetables,2018,Capital Federal,179.19760131835938,5
Regular,Meat,2018,Capital Federal,101.39900207519531,5
Regular,Starchy Foods,2018,Capital Federal,173.87379455566406,5
Regular,Canned,2018,Capital Federal,103.76740264892578,5
Regular,Frozen Foods,2018,Capital Federal,83.756599426269531,5
Low Fat,Baking Goods,2016,Capital Federal,119.47560119628906,5
Low Fat,Canned,2016,Capital Federal,115.88079833984375,5
Low Fat,Canned,2016,Capital Federal,107.72799682617188,5
Low Fat,Canned,2016,Capital Federal,208.86380004882813,5
Low Fat,Dairy,2016,Capital Federal,154.53399658203125,5
Low Fat,Dairy,2016,Capital Federal,36.187400817871094,5
Low Fat,Frozen Foods,2016,Capital Federal,264.49099731445313,5
Low Fat,Fruits and Vegetables,2016,Capital Federal,175.50540161132813,5
Low Fat,Fruits and Vegetables,2016,Capital Federal,252.33560180664063,5
Low Fat,Health and Hygiene,2016,Capital Federal,140.28379821777344,5
Low Fat,Health and Hygiene,2016,Capital Federal,234.65899658203125,5
Low Fat,Household,2016,Capital Federal,198.21099853515625,5
Low Fat,Household,2016,Capital Federal,182.69760131835938,5
Low Fat,Household,2016,Capital Federal,32.455799102783203,5
Low Fat,Household,2016,Capital Federal,76.132797241210938,5
Low Fat,Meat,2016,Capital Federal,65.982597351074219,5
Low Fat,Meat,2016,Capital Federal,165.78419494628906,5
Low Fat,Snack Foods,2016,Capital Federal,182.62660217285156,5
Low Fat,Snack Foods,2016,Capital Federal,122.80719757080078,5
Low Fat,Snack Foods,2016,Capital Federal,161.02360534667969,5
Low Fat,Snack Foods,2016,Capital Federal,166.15260314941406,5
Low Fat,Soft Drinks,2016,Capital Federal,143.31539916992188,5
Low Fat,Soft Drinks,2016,Capital Federal,58.790401458740234,5
Regular,Baking Goods,2016,Capital Federal,89.685600280761719,5
Regular,Baking Goods,2016,Capital Federal,36.987400054931641,5
Regular,Breakfast,2016,Capital Federal,130.49940490722656,5
Regular,Canned,2016,Capital Federal,88.619796752929688,5
Regular,Dairy,2016,Capital Federal,182.56080627441406,5
Regular,Frozen Foods,2016,Capital Federal,53.166599273681641,5
Regular,Frozen Foods,2016,Capital Federal,100.83580017089844,5
Regular,Frozen Foods,2016,Capital Federal,49.937599182128906,5
Regular,Meat,2016,Capital Federal,106.35959625244141,5
Regular,Seafood,2016,Capital Federal,184.658203125,5
Regular,Seafood,2016,Capital Federal,150.40499877929688,5
Regular,Snack Foods,2016,Capital Federal,99.535797119140625,5
Regular,Snack Foods,2016,Capital Federal,37.187400817871094,5
Low Fat,Dairy,2019,Provincia de Buenos Aires,171.57640075683594,5
Low Fat,Health and Hygiene,2020,Provincia de Buenos Aires,39.150600433349609,5
Low Fat,Soft Drinks,2020,Provincia de Buenos Aires,91.912002563476563,5
Low Fat,Baking Goods,2019,Provincia de Buenos Aires,124.63880157470703,5
Low Fat,Baking Goods,2019,Provincia de Buenos Aires,56.195598602294922,5
Low Fat,Breakfast,2019,Provincia de Buenos Aires,232.0325927734375,5
Low Fat,Canned,2019,Provincia de Buenos Aires,140.24960327148438,5
Low Fat,Canned,2019,Provincia de Buenos Aires,89.748802185058594,5
Low Fat,Dairy,2019,Provincia de Buenos Aires,247.48019409179688,5
Low Fat,Frozen Foods,2019,Provincia de Buenos Aires,96.0093994140625,5
Low Fat,Frozen Foods,2019,Provincia de Buenos Aires,83.622398376464844,5
Low Fat,Fruits and Vegetables,2019,Provincia de Buenos Aires,146.14179992675781,5
Low Fat,Fruits and Vegetables,2019,Provincia de Buenos Aires,36.816398620605469,5
Low Fat,Fruits and Vegetables,2019,Provincia de Buenos Aires,175.80540466308594,5
Low Fat,Fruits and Vegetables,2019,Provincia de Buenos Aires,48.603401184082031,5
Low Fat,Fruits and Vegetables,2019,Provincia de Buenos Aires,184.82659912109375,5
Low Fat,Fruits and Vegetables,2019,Provincia de Buenos Aires,233.89579772949219,5
Low Fat,Fruits and Vegetables,2019,Provincia de Buenos Aires,125.60199737548828,5
Low Fat,Health and Hygiene,2019,Provincia de Buenos Aires,116.44920349121094,5
Low Fat,Health and Hygiene,2019,Provincia de Buenos Aires,190.02139282226563,5
Low Fat,Health and Hygiene,2019,Provincia de Buenos Aires,79.161796569824219,5
Low Fat,Household,2019,Provincia de Buenos Aires,148.43919372558594,5
Low Fat,Household,2019,Provincia de Buenos Aires,84.625,5
Low Fat,Household,2019,Provincia de Buenos Aires,216.41920471191406,5
Low Fat,Household,2019,Provincia de Buenos Aires,251.67500305175781,5
Low Fat,Household,2019,Provincia de Buenos Aires,173.94219970703125,5
Low Fat,Household,2019,Provincia de Buenos Aires,104.23320007324219,5
Low Fat,Snack Foods,2019,Provincia de Buenos Aires,172.44219970703125,5
Low Fat,Snack Foods,2019,Provincia de Buenos Aires,142.64959716796875,5
Low Fat,Soft Drinks,2019,Provincia de Buenos Aires,189.85299682617188,5
Low Fat,Soft Drinks,2019,Provincia de Buenos Aires,188.18980407714844,5
Low Fat,Soft Drinks,2019,Provincia de Buenos Aires,246.04859924316406,5
Low Fat,Baking Goods,2020,Provincia de Buenos Aires,79.195999145507813,5
Low Fat,Canned,2020,Provincia de Buenos Aires,266.88839721679688,5
Low Fat,Canned,2020,Provincia de Buenos Aires,94.409400939941406,5
Low Fat,Dairy,2020,Provincia de Buenos Aires,264.58840942382813,5
Low Fat,Frozen Foods,2020,Provincia de Buenos Aires,239.69059753417969,5
Low Fat,Frozen Foods,2020,Provincia de Buenos Aires,191.21620178222656,5
Low Fat,Frozen Foods,2020,Provincia de Buenos Aires,243.68020629882813,5
Low Fat,Fruits and Vegetables,2020,Provincia de Buenos Aires,79.198600769042969,5
Low Fat,Fruits and Vegetables,2020,Provincia de Buenos Aires,49.969200134277344,5
Low Fat,Fruits and Vegetables,2020,Provincia de Buenos Aires,50.832401275634766,5
Low Fat,Hard Drinks,2020,Provincia de Buenos Aires,223.50880432128906,5
Low Fat,Hard Drinks,2020,Provincia de Buenos Aires,178.36599731445313,5
Low Fat,Hard Drinks,2020,Provincia de Buenos Aires,173.34219360351563,5
Low Fat,Health and Hygiene,2020,Provincia de Buenos Aires,33.587398529052734,5
Low Fat,Health and Hygiene,2020,Provincia de Buenos Aires,163.05259704589844,5
Low Fat,Health and Hygiene,2020,Provincia de Buenos Aires,149.27079772949219,5
Low Fat,Health and Hygiene,2020,Provincia de Buenos Aires,108.12799835205078,5
Low Fat,Household,2020,Provincia de Buenos Aires,163.05259704589844,5
Low Fat,Household,2020,Provincia de Buenos Aires,179.69760131835938,5
Low Fat,Household,2020,Provincia de Buenos Aires,246.44599914550781,5
Low Fat,Household,2020,Provincia de Buenos Aires,73.935401916503906,5
Low Fat,Meat,2020,Provincia de Buenos Aires,173.87379455566406,5
Low Fat,Meat,2020,Provincia de Buenos Aires,183.16079711914063,5
Low Fat,Others,2020,Provincia de Buenos Aires,190.25300598144531,5
Low Fat,Others,2020,Provincia de Buenos Aires,108.89119720458984,5
Low Fat,Snack Foods,2020,Provincia de Buenos Aires,227.23519897460938,5
Low Fat,Snack Foods,2020,Provincia de Buenos Aires,139.8179931640625,5
Low Fat,Snack Foods,2020,Provincia de Buenos Aires,188.98980712890625,5
Regular,Canned,2019,Provincia de Buenos Aires,187.62399291992188,5
Regular,Canned,2019,Provincia de Buenos Aires,227.63519287109375,5
Regular,Canned,2019,Provincia de Buenos Aires,52.363998413085938,5
Regular,Canned,2019,Provincia de Buenos Aires,165.71839904785156,5
Regular,Dairy,2019,Provincia de Buenos Aires,88.985603332519531,5
